epoch,steps,cosine_pearson,cosine_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman,dot_pearson,dot_spearman
0,145,0.3883028683144817,0.11382512386168575,0.38668779539075554,0.12212377868751431,0.38242881086137237,0.11775963456331438,0.38355623548621093,0.11189623758738346
0,290,0.3552590386516398,0.1286639586589509,0.3541035853449457,0.12881286055205468,0.35322645223242644,0.12661949987564083,0.34870732115969877,0.12659109916302225
0,435,0.36430453368233034,0.12379250525714693,0.3455420826761506,0.12297076515433082,0.34327286953919567,0.11869776543993522,0.3631583312437916,0.12296530848952221
0,580,0.3521546591870015,0.1268576833043851,0.33823604536187624,0.1294282038647272,0.33679404115905587,0.12690500659795545,0.3481955247514599,0.12596411222419887
0,725,0.34395622037613727,0.120608317115286,0.3288951625110492,0.11868753694662311,0.32776059389583084,0.11742084448765998,0.3427444858577185,0.12044394582376644
0,-1,0.344006830240831,0.12049476068959913,0.32888133532514835,0.11849289042487464,0.32777211555828456,0.11724698432550497,0.3428545980435629,0.12042166752151476
1,145,0.3502072279342191,0.11355580430996425,0.32989560598373335,0.10636595747198245,0.33058704200315164,0.10601817646017049,0.3523383707368101,0.11293523046125387
1,290,0.34721125193741376,0.11980635160349842,0.34020143850871143,0.11503596370593074,0.34049509911772974,0.11320298294106391,0.34176358076237245,0.11921022824463118
1,435,0.2933862162368003,0.10714802633613014,0.30090636789062397,0.10868022893981633,0.30083999646334353,0.10789708142095385,0.28723613263474557,0.10595134918568758
1,580,0.3115477007147319,0.10038552550151404,0.3110337747531773,0.09645629650475625,0.3118828296901454,0.09596208607199912,0.3070260823767736,0.09956400211703048
1,725,0.32293967135421986,0.10827549006907342,0.312211405234391,0.10098417088239707,0.31346879110020626,0.10172146405037885,0.32253126739803734,0.10779777568822672
1,-1,0.32189162696459095,0.10840168522565885,0.3112969073031363,0.10126126452662,0.31261688740654053,0.10197043757571027,0.3215551929333897,0.10792305117165275
2,145,0.33082146418550956,0.12342581995765127,0.3260127351827797,0.10693243149650213,0.3248171380169153,0.10690928515057271,0.3285836992343832,0.12232018088261117
