BERTNAME,train_spearman,test_spearman, train_pearson, test_pearson, train_MSE, test_MSE, time
grid/fine-tuned-bio-bert-0-MARGIN=0.3743-lr=1e-06-wd=0-wsf=1,0.0502038146364738,0.0926896480196486,0.2604841738257523,0.3274765078056237,0.0364245251149384,0.0330987883575955,480.7317008972168
grid/fine-tuned-bio-bert-1-MARGIN=0.3743-lr=1e-06-wd=0.005-wsf=1,0.0549912731797442,0.0961198060651255,0.2630742232778423,0.3278743248334752,0.0347725495976467,0.0314461753063411,483.8576374053955
grid/fine-tuned-bio-bert-2-MARGIN=0.3743-lr=5e-06-wd=0-wsf=1,0.0684608734799686,0.1125455620412034,0.2988325843203112,0.3635270004069106,0.0315268525999678,0.0284309540238306,475.87556433677673
grid/fine-tuned-bio-bert-3-MARGIN=0.3743-lr=5e-06-wd=0.005-wsf=1,0.0696317316097647,0.1102877782365313,0.2878903691385334,0.3491002064216363,0.0269565573887227,0.0243345765424092,463.94512462615967
grid/fine-tuned-bio-bert-4-MARGIN=0.6829-lr=1e-06-wd=0-wsf=1,0.0482781287307708,0.089978127281441,0.2553948972424493,0.3225020641266715,0.0362756390519217,0.0329127763916119,472.5157480239868
grid/fine-tuned-bio-bert-5-MARGIN=0.6829-lr=1e-06-wd=0.005-wsf=1,0.0558725201054326,0.1007202232345631,0.2656727940646914,0.3313771347969981,0.0347340179804792,0.031587962366972,480.0323414802551
grid/fine-tuned-bio-bert-6-MARGIN=0.6829-lr=5e-06-wd=0-wsf=1,0.0804717005227691,0.1330197226569706,0.3092733100719803,0.3731612199562438,0.0290372261385588,0.0264783235310233,487.59985184669495
grid/fine-tuned-bio-bert-7-MARGIN=0.6829-lr=5e-06-wd=0.005-wsf=1,0.0886320652444499,0.1273624020174646,0.3033528562734523,0.3646983332554481,0.0277933566029413,0.0256335976324453,485.3533732891083
grid/fine-tuned-bio-bert-8-MARGIN=0.8974-lr=1e-06-wd=0-wsf=1,0.0513908961065102,0.0931517446552988,0.2577976624935149,0.3253996003889495,0.0358035738473892,0.0324029359374599,472.713175535202
grid/fine-tuned-bio-bert-9-MARGIN=0.8974-lr=1e-06-wd=0.005-wsf=1,0.0519206127461739,0.0974560492977999,0.2621401531546423,0.3297185189729484,0.0355222966076857,0.0321041639081718,476.6079716682434
grid/fine-tuned-bio-bert-10-MARGIN=0.8974-lr=5e-06-wd=0-wsf=1,0.080137843845279,0.116578766371305,0.2861213828234956,0.349924628347814,0.0307501750501577,0.0277579160333185,478.70636010169983
grid/fine-tuned-bio-bert-11-MARGIN=0.8974-lr=5e-06-wd=0.005-wsf=1,0.1041745905534672,0.1525610570834556,0.3323455072112141,0.3930740395628246,0.025199236563285,0.0232999561069337,482.20405554771423
