BERTNAME,train_spearman,test_spearman, train_pearson, test_pearson, train_MSE, test_MSE, time,train_spearman_step, test_spearman_step, train_pearson_step, test_pearson_step, train_MSE_step, test_MSE_step
grid-cosent-full/fine-tuned-biobert-2-0-scale=1-lr=5e-06-wd=0.0-wsf=1.0,0.2453028542543773,0.2657655275060639,0.4494937481746558,0.4935067526779208,0.0217215144871912,0.0214248601975989,4664.657905578613,3012.0,6224.0,2608.0,2608.0,3812.0,3812.0
grid-cosent-full/fine-tuned-biobert-2-1-scale=1-lr=5e-06-wd=0.005-wsf=1.0,0.2484862173941119,0.2844765056397367,0.4511433966332773,0.496020328361585,0.0221727317343069,0.0218972659342916,4661.584223270416,4012.0,3812.0,4616.0,3612.0,4216.0,3812.0
grid-cosent-full/fine-tuned-biobert-2-2-scale=1-lr=2e-05-wd=0.0-wsf=1.0,0.2715701295068096,0.3358603648790105,0.4631416645737713,0.5011665405126127,0.0332953593571587,0.035093631932978,4655.149772882462,3008.0,1000.0,2008.0,1804.0,2008.0,2008.0
grid-cosent-full/fine-tuned-biobert-2-3-scale=1-lr=2e-05-wd=0.005-wsf=1.0,0.2840326912516682,0.3203223098114525,0.4466690355862196,0.4615251883440134,0.0342545984536056,0.0347570142226114,4660.132404327393,2004.0,2004.0,2008.0,600.0,3008.0,200.0
